smog_data
"SZKOŁA PODSTAWOWA NR 6 IM. LUDWIKA WARYŃSKIEGO W SŁUPSKU, UL. STARZYŃSKIEGO, 76-200, SŁUPSK, 17.023811, 54.465980, 99.90000000000002, 1009.1666666666666, 13.5, 0.1, 0.056666666666666005, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W KOBIÓRZE, UL. TUWIMA, 43-210, KOBIÓR, 18.930274, 50.060752, 99.90000000000002, 989.2333333333332, 14.833333333333334, 8.666666666666666, 4.826666666666667, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA W PONISZOWICACH, UL. GLIWICKA, 44-172, PONISZOWICE, 18.458674, 50.409220, 97.83333333333333, 986.1, 14.833333333333334, 2.333333333333333, 1.286666666666666, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SOKOŁOWICACH, SOKOŁOWICE, 56-400, SOKOŁOWICE, 17.4469, 51.245, 74.26666666666667, 996.1999999999999, 12.4, 2.6999999999999993, 1.493333333333333, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. UNICEF W LIGOCIE MAŁEJ, LIGOTA MAŁA, 56-400, LIGOTA MAŁA, 17.365476, 51.142467, 91.93333333333334, 970.0, 12.5, 13.733333333333334, 8.83, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA GMINY OLEŚNICA W OLEŚNICY, WILEŃSKA, 56-400, OLEŚNICA, 17.41034, 51.2095, 99.90000000000002, 1006.0, 14.200000000000001, 3.333333333333333, 1.926666666666666, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 19 W BRZEŹCACH, POKOJU, 43-200, BRZEŹCE, 18.832539, 49.984943, 97.90000000000002, 986.7333333333332, 13.566666666666668, 3.5, 1.979999999999999, 2026-07-06 07:01:40"
"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W RADOSTOWIE ŚREDNIM, RADOSTÓW ŚREDNI, 59-800, RADOSTÓW ŚREDNI, 15.36293, 51.12153, 27.5, 983.0, 28.3, 0.5, 0.28, 2026-07-06 07:01:40"
"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W KOŚCIELNIKU, KOŚCIELNIK, 59-800, KOŚCIELNIK, 15.29682, 51.08393, 61.9, 995.9, 17.5, 0.30000000000000004, 0.15, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. POLSKICH ODKRYWCÓW I PODRÓŻNIKÓW W KOBIERZYCACH, PARKOWA, 55-040, KOBIERZYCE, 16.933169, 50.971851, 95.475, 987.325, 13.9, 2.0, 1.025, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. UNICEF W BIELANACH WROCŁAWSKICH, AKACJOWA, 55-040, BIELANY WROCŁAWSKIE, 16.971022, 51.038120, 75.7, 1000.1666666666666, 15.933333333333332, 3.4, 1.8499999999999992, 2026-07-06 07:01:40"
