NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP,ERROR1,ERROR2
SZKOŁA PODSTAWOWA NR 6 SPECJALNA IM. PROF. MARII GRZEGORZEWSKIEJ W CZELADZI, UL. SZPITALNA, 41-250, CZELADŹ, 19.0754521, 50.3289091, 74.425, 984.9333333333334, 14.441666666666668,2.883333333333333,2.533333333333333, 2026-07-04 06:54:45,,
SAMORZĄDOWA SZKOŁA PODSTAWOWA IM. STEFANA BATOREGO W LIWIE , UL. KS. K. R. LESZCZYŃSKIEGO, 07-100, LIW, 21.9631846, 52.3725265, 62.75833333333333, 1000.9083333333333, 15.991666666666667,0.366666666666666,0.016666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA IM. HELENY MARUSARZÓWNY W ZĘBIE, UL. ŚW. ANNY, 34-521, ZĄB, 19.9474975, 49.3379768, 73.00833333333334, 969.0416666666666, 11.558333333333332,1.566666666666666,1.3083333333333331, 2026-07-04 06:54:45,,
LICEUM OGÓLNOKSZTAŁACĄCE IM. PROF. ZBIGNIEWA RELIGI W GILOWICACH, UL. WOJCIECHA KORFANTEGO, 43-227, GILOWICE, 19.3085572, 49.7122409, 78.875, 991.9583333333334, 13.85,6.466666666666666,4.966666666666667, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA W CZERNICY, None, 58-521, CZERNICA, 17.2449367, 51.0457859, 84.83333333333333, 982.9250000000001, 11.641666666666666,2.066666666666667,1.675, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 3 IM. JANA PAWŁA II W SIEMIATYCZACH, UL. GEN. WŁADYSŁAWA ANDERSA, 17-300, SIEMIATYCZE, 22.8845728, 52.4289637, 61.68333333333334, 992.4166666666666, 16.666666666666668,3.816666666666666,2.4666666666666672, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA IM.KARDYNAŁA STEFANA WYSZYŃSKIEGO W SIEDLISKACH, None, 33-172, SIEDLISKA, 21.0117541, 49.8686222, 65.24, 988.5799999999999, 16.07,2.77,2.15, 2026-07-04 06:54:45,,
NIEPUBLICZNE LICEUM SZTUK PLASTYCZNYCH IM. ORLĄT LWOWSKICH W TYCHACH, UL. BUDOWLANYCH, 43-100, TYCHY, 19.0200022, 50.1218007, 71.175, 988.1, 15.1375,2.875,2.3375, 2026-07-04 06:54:45,,
LICEUM OGÓLNOKSZTAŁCĄCE IM. HENRYKA SIENKIEWICZA W BOBOWEJ, UL. DŁUGOSZOWSKICH, 38-350, BOBOWA, 20.9509659, 49.7102798, 61.18333333333334, 983.4250000000001, 16.766666666666666,2.475,1.941666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 1 IM. JANA III SOBIESKIEGO W LIBIĄŻU, UL. SZKOLNA, 32-590, LIBIĄŻ, 19.3286373, 50.1013661, 74.47500000000001, 987.0916666666667, 13.808333333333332,73.18333333333334,67.01666666666667, 2026-07-04 06:54:45,,
TECHNIKUM NR 2 W ZESPOLE SZKÓŁ NR 2 IM.ŚW.JADWIGI KRÓLOWEJ W ANDRYCHOWIE , UL. STEFANA BATOREGO, 34-120, ANDRYCHÓW, 19.3412842, 49.8548934, 78.19166666666668, 980.3499999999999, 16.349999999999998,2.55,1.991666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 7 IM. KS. STANISŁAWA STASZICA W JAROSŁAWIU, UL. DOLNOLEŻAJSKA, 37-500, JAROSŁAW, 22.680698, 50.044337, 58.824999999999996, 993.625, 16.741666666666667,2.158333333333333,1.816666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W GĄSKACH, None, 19-400, GĄSKI, 15.921626, 54.236797, 76.09166666666667, 991.2666666666668, 15.683333333333332,3.308333333333333,2.308333333333333, 2026-07-04 06:54:45,,
II LICEUM OGÓLNOKSZTAŁCĄCE Z DODATKOWĄ NAUKĄ JĘZYKA BIAŁORUSKIEGO W HAJNÓWCE, UL. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO, 17-200, HAJNÓWKA, 23.592226, 52.735871, 73.44166666666666, 992.9833333333332, 14.566666666666668,1.541666666666666,0.891666666666666, 2026-07-04 06:54:45,,
TECHNIKUM W KĘTACH ZAKŁADU DOSKONALENIA ZAWODOWEGO W KATOWICACH, UL. ŻWIRKI I WIGURY, 32-650, KĘTY, 19.2228003, 49.8807299, 59.291666666666664, 987.4916666666667, 16.349999999999998,1.375,1.316666666666666, 2026-07-04 06:54:45,,
SPOŁECZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. JERZEGO KUKUCZKI W RYBNIKU, UL. ŚW. JÓZEFA, 44-217, RYBNIK, 18.531808211060092, 50.10136552503232 , 65.73333333333333, 991.6333333333333, 15.608333333333334,2.041666666666666,1.75, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 20 IM. HARCERZY BUCHALIKÓW W RYBNIKU, UL. ZIOŁOWA, 44-251, RYBNIK, 18.61219957, 50.0787546, 70.86666666666666, 991.7166666666667, 16.366666666666667,1.983333333333333,1.708333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 8 IM. WŁADYSŁAWA WEBERA W ZESPOLE SZKOLNO-PRZEDSZKOLNYM Z ODDZIAŁAMI INTEGRACYJNYMI NR 1 W RYBNIKU, UL. GLIWICKA, 44-207, RYBNIK, 18.5502200, 50.1225400, 67.34545454545454, 989.0636363636364, 16.672727272727272,2.327272727272727,1.981818181818182, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 32 IM. ALFREDA SZKLARSKIEGO W RYBNIKU, UL. BORKI, 44-200, RYBNIK, 18.5162417, 50.1108233, 69.53333333333333, 990.6, 15.025,2.7416666666666663,2.258333333333333, 2026-07-04 06:54:45,,
TECHNIKUM NR 2 W RYBNIKU, UL. TADEUSZA KOŚCIUSZKI, 44-200, RYBNIK, 18.5490429, 50.0946384, 65.075, 989.9833333333332, 16.066666666666666,2.108333333333333,1.7666666666666662, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 1 IM. TADEUSZA KOŚCIUSZKI W NOWEJ SOLI, UL. SZKOLNA, 67-100, NOWA SÓL, 15.71707, 51.80344, 59.541666666666664, 1011.9416666666666, 16.1,2.2416666666666663,1.7000000000000002, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA IM. ZOFII KOSSAK W PIERŚĆCU, UL. JERZEGO TOMANKA, 43-430, PIERŚCIEC, 18.8202885, 49.8369, 69.99166666666666, 985.7666666666668, 15.549999999999999,1.925,1.466666666666666, 2026-07-04 06:54:45,,
